,labels,texts
9,neutral,"One gave her goodness, another beauty, another riches, and so on till she had all that was good in the world."
10,neutral,"Just as eleven of them had done blessing her, a great noise was heard in the courtyard, and word was brought that the thirteenth fairy was come, with a black cap on her head, and black shoes on her feet, and a broomstick in her hand: and presently up she came into the dininghall."
11,anger,"Now, as she had not been asked to the feast she was very angry, and scolded the king and queen very much, and set to work to take her revenge."
12,anger,"So she cried out, ""The king""s daughter shall, in her fifteenth year, be wounded by a spindle, and fall down dead."""
13,neutral,"Then the twelfth of the friendly fairies, who had not yet given her gift, came forward, and said that the evil wish must be fulfilled, but that she could soften its mischief; so her gift was, that the king""s daughter, when the spindle wounded her, should not really die, but should only fall asleep for a hundred years."
14,fear,"However, the king hoped still to save his dear child altogether from the threatened evil; so he ordered that all the spindles in the kingdom should be bought up and burnt."
15,neutral,"But all the gifts of the first eleven fairies were in the meantime fulfilled; for the princess was so beautiful, and well behaved, and good, and wise, that everyone who knew her loved her."
16,neutral,"It happened that, on the very day she was fifteen years old, the king and queen were not at home, and she was left alone in the palace."
17,neutral,"So she roved about by herself, and looked at all the rooms and chambers, till at last she came to an old tower, to which there was a narrow staircase ending with a little door."
18,neutral,"In the door there was a golden key, and when she turned it the door sprang open, and there sat an old lady spinning away very busily."
19,neutral,"""Why, how now, good mother,"" said the princess; ""what are you doing there?"""
20,neutral,"""Spinning,"" said the old lady, and nodded her head, humming a tune, while buzz! went the wheel."
21,joy,"""How prettily that little thing turns round!"" said the princess, and took the spindle and began to try and spin."
22,neutral,"But scarcely had she touched it, before the fairy""s prophecy was fulfilled; the spindle wounded her, and she fell down lifeless on the ground."
23,neutral,"However, she was not dead, but had only fallen into a deep sleep; and the king and the queen, who had just come home, and all their court, fell asleep too; and the horses slept in the stables, and the dogs in the court, the pigeons on the house-top, and the very flies slept upon the walls."
24,neutral,"Even the fire on the hearth left off blazing, and went to sleep; the jack stopped, and the spit that was turning about with a goose upon it for the king""s dinner stood still; and the cook, who was at that moment pulling the kitchen-boy by the hair to give him a box on the ear for something he had done amiss, let him go, and both fell asleep; the butler, who was slyly tasting the ale, fell asleep with the jug at his lips: and thus everything stood still, and slept soundly."
25,neutral,"A large hedge of thorns soon grew round the palace, and every year it became higher and thicker; till at last the old palace was surrounded and hidden, so that not even the roof or the chimneys could be seen."
26,neutral,"But there went a report through all the land of the beautiful sleeping Briar Rose (for so the king""s daughter was called): so that, from time to time, several kings"" sons came, and tried to break through the thicket into the palace."
27,neutral,"This, however, none of them could ever do; for the thorns and bushes laid hold of them, as it were with hands; and there they stuck fast, and died wretchedly."
28,neutral,"After many, many years there came a king""s son into that land: and an old man told him the story of the thicket of thorns; and how a beautiful palace stood behind it, and how a wonderful princess, called Briar Rose, lay in it asleep, with all her court."
29,neutral,"He told, too, how he had heard from his grandfather that many, many princes had come, and had tried to break through the thicket, but that they had all stuck fast in it, and died."
30,neutral,"Then the young prince said, ""All this shall not frighten me; I will go and see this Briar Rose."""
31,neutral,"The old man tried to hinder him, but he was bent upon going."
32,neutral,"Now that very day the hundred years were ended; and as the prince came to the thicket he saw nothing but beautiful flowering shrubs, through which he went with ease, and they shut in after him as thick as ever."
33,neutral,"Then he came at last to the palace, and there in the court lay the dogs asleep; and the horses were standing in the stables; and on the roof sat the pigeons fast asleep, with their heads under their wings."
34,neutral,"And when he came into the palace, the flies were sleeping on the walls; the spit was standing still; the butler had the jug of ale at his lips, going to drink a draught; the maid sat with a fowl in her lap ready to be plucked; and the cook in the kitchen was still holding up her hand, as if she was going to beat the boy."
35,neutral,"Then he went on still farther, and all was so still that he could hear every breath he drew; till at last he came to the old tower, and opened the door of the little room in which Briar Rose was; and there she lay, fast asleep on a couch by the window."
36,joy,"She looked so beautiful that he could not take his eyes off her, so he stooped down and gave her a kiss."
37,joy,"But the moment he kissed her she opened her eyes and awoke, and smiled upon him; and they went out together; and soon the king and queen also awoke, and all the court, and gazed on each other with great wonder."
38,neutral,"And the horses shook themselves, and the dogs jumped up and barked; the pigeons took their heads from under their wings, and looked about and flew into the fields; the flies on the walls buzzed again; the fire in the kitchen blazed up; round went the jack, and round went the spit, with the goose for the king""s dinner upon it; the butler finished his draught of ale; the maid went on plucking the fowl; and the cook gave the boy the box on his ear."
39,joy,"And then the prince and Briar Rose were married, and the wedding feast was given; and they lived happily together all their lives long."
0,neutral,"There was once upon a time a rich King who had three daughters, who daily went to walk in the palace garden, and the King was a great lover of all kinds of fine trees, but there was one for which he had such an affection, that if anyone gathered an apple from it he wished him a hundred fathoms underground."
1,neutral,"And when harvest time came, the apples on this tree were all as red as blood."
2,neutral,"The three daughters went every day beneath the tree, and looked to see if the wind had not blown down an apple, but they never by any chance found one, and the tree was so loaded with them that it was almost breaking, and the branches hung down to the ground."
3,neutral,"Then the King""s youngest child had a great desire for an apple, and said to her sisters, ""Our father loves us far too much to wish us underground, it is my belief that he would only do that to people who were strangers."""
4,joy,"And while she was speaking, the child plucked off quite a large apple, and ran to her sisters, saying, ""Just taste, my dear little sisters, for never in my life have I tasted anything so delightful."""
5,surprise,"Then the two other sisters also ate some of the apple, whereupon all three sank deep down into the earth, where they could hear no cock crow."
6,surprise,"When mid-day came, the King wished to call them to come to dinner, but they were nowhere to be found."
7,neutral,"He sought them everywhere in the palace and garden, but could not find them."
8,sadness,"Then he was much troubled, and made known to the whole land that whosoever brought his daughters back again should have one of them to wife."
9,neutral,"Hereupon so many young men went about the country in search, that there was no counting them, for every one loved the three children because they were so kind to all, and so fair of face."
10,neutral,"Three young huntsmen also went out, and when they had travelled about for eight days, they arrived at a great castle, in which were beautiful apartments, and in one room a table was laid on which were delicate dishes which were still so warm that they were smoking, but in the whole of the castle no human being was either to be seen or heard."
11,neutral,"They waited there for half a day, and the food still remained warm and smoking, and at length they were so hungry that they sat down and ate, and agreed with each other that they would stay and live in that castle, and that one of them, who should be chosen by casting lots, should remain in the house, and the two others seek the King""s daughters."
12,neutral,"They cast lots, and the lot fell on the eldest; so next day the two younger went out to seek, and the eldest had to stay home."
13,neutral,"At mid-day came a small, small mannikin and begged for a piece of bread, then the huntsman took the bread which he had found there, and cut a round off the loaf and was about to give it to him, but whilst he was giving it to the mannikin, the latter let it fall, and asked the huntsman to be so good as to give him that piece again."
14,surprise,"The huntsman was about to do so and stooped, on which the mannikin took a stick, seized him by the hair, and gave him a good beating."
15,neutral,"Next day, the second stayed at home, and he fared no better."
16,neutral,"When the two others returned in the evening, the eldest said, ""Well, how have you got on?"""
17,sadness,"""Oh, very badly,"" said he, and then they lamented their misfortune together, but they said nothing about it to the youngest, for they did not like him at all, and always called him Stupid Hans, because he did not exactly belong to the forest."
18,neutral,"On the third day, the youngest stayed at home, and again the little mannikin came and begged for a piece of bread."
19,neutral,"When the youth gave it to him, the elf let it fall as before, and asked him to be so good as to give him that piece again."
20,disgust,"Then said Hans to the little mannikin, ""What! canst thou not pick up that piece thyself?"
21,disgust,"If thou wilt not take as much trouble as that for thy daily bread, thou dost not deserve to have it."""
22,anger,"Then the mannikin grew very angry and said he was to do it, but the huntsman would not, and took my dear mannikin, and gave him a thorough beating."
23,fear,"Then the mannikin screamed terribly, and cried, ""Stop, stop, and let me go, and I will tell thee where the King""s daughters are."""
24,neutral,"When Hans heard that, he left off beating him and the mannikin told him that he was an earth mannikin, and that there were more than a thousand like him, and that if he would go with him he would show him where the King""s daughters were."
25,neutral,"Then he showed him a deep well, but there was no water in it."
26,neutral,"And the elf said that he knew well that the companions Hans had with him did not intend to deal honourably with him, therefore if he wished to deliver the King""s children, he must do it alone."
27,neutral,"The two other brothers would also be very glad to recover the King""s daughters, but they did not want to have any trouble or danger."
28,neutral,"Hans was therefore to take a large basket, and he must seat himself in it with his hanger and a bell, and be let down."
29,neutral,"Below were three rooms, and in each of them was a princess, with a many-headed dragon, whose heads she was to comb and trim, but he must cut them off."
30,neutral,"And having said all this, the elf vanished."
31,neutral,"When it was evening the two brothers came and asked how he had got on, and he said, ""pretty well so far,"" and that he had seen no one except at mid-day when a little mannikin had come and begged for a piece of bread, that he had given some to him, but that the mannikin had let it fall and had asked him to pick it up again; but as he did not choose to do that, the elf had begun to lose his temper, and that he had done what he ought not, and had given the elf a beating, on which he had told him where the King""s daughters were."
32,anger,Then the two were so angry at this that they grew green and yellow.
33,neutral,"Next morning they went to the well together, and drew lots who should first seat himself in the basket, and again the lot fell on the eldest, and he was to seat himself in it, and take the bell with him."
34,neutral,"Then he said, ""If I ring, you must draw me up again immediately."""
35,neutral,"When he had gone down for a short distance, he rang, and they at once drew him up again."
36,neutral,"Then the second seated himself in the basket, but he did just the same as the first, and then it was the turn of the youngest, but he let himself be lowered quite to the bottom."
37,neutral,"When he had got out of the basket, he took his hanger, and went and stood outside the first door and listened, and heard the dragon snoring quite loudly."
38,neutral,"He opened the door slowly, and one of the princesses was sitting there, and had nine dragon""s heads lying upon her lap, and was combing them."
39,neutral,"Then he took his hanger and hewed at them, and the nine fell off."
40,joy,"The princess sprang up, threw her arms round his neck, embraced and kissed him repeatedly, and took her stomacher, which was made of pure gold, and hung it round his neck."
41,neutral,"Then he went to the second princess, who had a dragon with five heads to comb, and delivered her also, and to the youngest, who had a dragon with four heads, he went likewise."
42,joy,"And they all rejoiced, and embraced him and kissed him without stopping."
43,neutral,"Then he rang very loud, so that those above heard him, and he placed the princesses one after the other in the basket, and had them all drawn up, but when it came to his own turn he remembered the words of the elf, who had told him that his comrades did not mean well by him."
44,neutral,"So he took a great stone which was lying there, and placed it in the basket, and when it was about half way up, his false brothers above cut the rope, so that the basket with the stone fell to the ground, and they thought that he was dead, and ran away with the three princesses, making them promise to tell their father that it was they who had delivered them, and then they went to the King, and each demanded a princess in marriage."
45,surprise,"In the meantime the youngest huntsman was wandering about the three chambers in great trouble, fully expecting to have to end his days there, when he saw, hanging on the wall, a flute; then said he, ""Why dost thou hang there, no one can be merry here?"""
46,sadness,"He looked at the dragons, heads likewise and said, ""You too cannot help me now."""
47,neutral,He walked backwards and forwards for such a long time that he made the surface of the ground quite smooth.
48,neutral,"But at last other thoughts came to his mind, and he took the flute from the wall, and played a few notes on it, and suddenly a number of elves appeared, and with every note that he sounded one more came."
49,neutral,Then he played until the room was entirely filled.
50,neutral,"They all asked what he desired, so he said he wished to get above ground back to daylight, on which they seized him by every hair that grew on his head, and thus they flew with him onto the earth again."
51,neutral,"When he was above ground, he at once went to the King""s palace, just as the wedding of one princess was about to be celebrated, and he went to the room where the King and his three daughters were."
52,surprise,When the princesses saw him they fainted.
53,anger,"Hereupon the King was angry, and ordered him to be put in prison at once, because he thought he must have done some injury to the children."
54,neutral,"When the princesses came to themselves, however, they entreated the King to set him free again."
55,neutral,"The King asked why, and they said that they were not allowed to tell that, but their father said that they were to tell it to the stove."
56,neutral,"And he went out, listened at the door, and heard everything."
57,anger,"Then he caused the two brothers to be hanged on the gallows, and to the third he gave his youngest daughter, and on that occasion I wore a pair of glass shoes, and I struck them against a stone, and they said, ""Klink,"" and were broken."
0,joy,"A certain cat had made the acquaintance of a mouse, and had said so much to her about the great love and friendship she felt for her, that at length the mouse agreed that they should live and keep house together."
1,neutral,"""But we must make a provision for winter, or else we shall suffer from hunger,"" said the cat; ""and you, little mouse, cannot venture everywhere, or you will be caught in a trap some day."""
2,neutral,"The good advice was followed, and a pot of fat was bought, but they did not know where to put it."
3,neutral,"At length, after much consideration, the cat said: ""I know no place where it will be better stored up than in the church, for no one dares take anything away from there."
4,neutral,"We will set it beneath the altar, and not touch it until we are really in need of it."""
5,joy,"So the pot was placed in safety, but it was not long before the cat had a great yearning for it, and said to the mouse: ""I want to tell you something, little mouse; my cousin has brought a little son into the world, and has asked me to be godmother; he is white with brown spots, and I am to hold him over the font at the christening."
6,neutral,"Let me go out today, and you look after the house by yourself."""
7,neutral,"""Yes, yes,"" answered the mouse, ""by all means go, and if you get anything very good to eat, think of me."
8,neutral,"I should like a drop of sweet red christening wine myself."""
9,neutral,"All this, however, was untrue; the cat had no cousin, and had not been asked to be godmother."
10,neutral,"She went straight to the church, stole to the pot of fat, began to lick at it, and licked the top of the fat off."
11,neutral,"Then she took a walk upon the roofs of the town, looked out for opportunities, and then stretched herself in the sun, and licked her lips whenever she thought of the pot of fat, and not until it was evening did she return home."
12,neutral,"""Well, here you are again,"" said the mouse, ""no doubt you have had a merry day."""
13,joy,"""All went off well,"" answered the cat."
14,neutral,"""What name did they give the child?"""
15,anger,"""Top off!"" said the cat quite coolly."
16,surprise,"""Top off!"" cried the mouse, ""that is a very odd and uncommon name, is it a usual one in your family?"""
17,anger,"""What does that matter,"" said the cat, ""it is no worse than Crumb-stealer, as your godchildren are called."""
18,joy,Before long the cat was seized by another fit of yearning.
19,neutral,"She said to the mouse: ""You must do me a favour, and once more manage the house for a day alone."
20,neutral,"I am again asked to be godmother, and, as the child has a white ring round its neck, I cannot refuse."""
21,neutral,"The good mouse consented, but the cat crept behind the town walls to the church, and devoured half the pot of fat."
22,joy,"""Nothing ever seems so good as what one keeps to oneself,"" said she, and was quite satisfied with her day""s work."
23,neutral,"When she went home the mouse inquired: ""And what was the child christened?"""
24,neutral,"""Half-done,"" answered the cat."
25,neutral,"""Half-done!"
26,neutral,What are you saying?
27,surprise,"I never heard the name in my life, I""ll wager anything it is not in the calendar!"""
28,joy,"The cat""s mouth soon began to water for some more licking."
29,neutral,"""All good things go in threes,"" said she, ""I am asked to stand godmother again."
30,neutral,"The child is quite black, only it has white paws, but with that exception, it has not a single white hair on its whole body; this only happens once every few years, you will let me go, won""t you?"""
31,neutral,"""Topoff!"
32,neutral,"Half-done!"" answered the mouse, ""they are such odd names, they make me very thoughtful."""
33,anger,"""You sit at home,"" said the cat, ""in your dark-grey fur coat and long tail, and are filled with fancies, that""s because you do not go out in the daytime."""
34,neutral,"During the cat""s absence the mouse cleaned the house, and put it in order, but the greedy cat entirely emptied the pot of fat."
35,joy,"""When everything is eaten up one has some peace,"" said she to herself, and well filled and fat she did not return home till night."
36,neutral,The mouse at once asked what name had been given to the third child.
37,neutral,"""It will not please you more than the others,"" said the cat."
38,neutral,"""He is called All-gone."""
39,surprise,"""All-gone,"" cried the mouse ""that is the most suspicious name of all!"
40,neutral,I have never seen it in print.
41,neutral,"All-gone; what can that mean?"" and she shook her head, curled herself up, and lay down to sleep."
42,joy,"From this time forth no one invited the cat to be godmother, but when the winter had come and there was no longer anything to be found outside, the mouse thought of their provision, and said: ""Come, cat, we will go to our pot of fat which we have stored up for ourselves--we shall enjoy that."""
43,anger,"""Yes,"" answered the cat, ""you will enjoy it as much as you would enjoy sticking that dainty tongue of yours out of the window."""
44,neutral,"They set out on their way, but when they arrived, the pot of fat certainly was still in its place, but it was empty."
45,surprise,"""Alas!"" said the mouse, ""now I see what has happened, now it comes to light!"
46,surprise,You a true friend!
47,neutral,You have devoured all when you were standing godmother.
48,anger,"First top off, then half-done, then--"" ""Will you hold your tongue,"" cried the cat, ""one word more, and I will eat you too."""
49,neutral,"""All-gone"" was already on the poor mouse""s lips; scarcely had she spoken it before the cat sprang on her, seized her, and swallowed her down."
50,neutral,"Verily, that is the way of the world."
0,neutral,"ONCE upon a time there was little girl, pretty and dainty."
1,neutral,"But in summer time she was obliged to go barefooted because she was poor, and in winter she had to wear large wooden shoes, so that her little instep grew quite red."
2,neutral,"In the middle of the village lived an old shoemaker's wife; she sat down and made, as well as she could, a pair of little shoes out of some old pieces of red cloth."
3,neutral,"They were clumsy, but she meant well, for they were intended for the little girl, whose name was Karen."
4,neutral,Karen received the shoes and wore them for the first time on the day of her mother's funeral.
5,neutral,"They were certainly not suitable for mourning; but she had no others, and so she put her bare feet into them and walked behind the humble coffin."
6,sadness,"Just then a large old carriage came by, and in it sat an old lady; she looked at the little girl, and taking pity on her, said to the clergyman, ""Look here, if you will give me the little girl, I will take care of her."""
7,disgust,"Karen believed that this was all on account of the red shoes, but the old lady thought them hideous, and so they were burnt."
8,neutral,"Karen herself was dressed very neatly and cleanly; she was taught to read and to sew, and people said that she was pretty."
9,neutral,"But the mirror told her, ""You are more than pretty- you are beautiful."""
10,neutral,"One day the Queen was travelling through that part of the country, and had her little daughter, who was a princess, with her."
11,neutral,"All the people, amongst them Karen too, streamed towards the castle, where the little princess, in fine white clothes, stood before the window and allowed herself to be stared at."
12,neutral,"She wore neither a train nor a golden crown, but beautiful red morocco shoes; they were indeed much finer than those which the shoemaker's wife had sewn for little Karen."
13,neutral,There is really nothing in the world that can be compared to red shoes!
14,neutral,"Karen was now old enough to be confirmed; she received some new clothes, and she was also to have some new shoes."
15,neutral,"The rich shoemaker in the town took the measure of her little foot in his own room, in which there stood great glass cases full of pretty shoes and white slippers."
16,neutral,"It all looked very lovely, but the old lady could not see very well, and therefore did not get much pleasure out of it."
17,neutral,"Amongst the shoes stood a pair of red ones, like those which the princess had worn."
18,neutral,"How beautiful they were! and the shoemaker said that they had been made for a count's daughter, but that they had not fitted her."
19,neutral,"""I suppose they are of shiny leather?"" asked the old lady."
20,neutral,"""They shine so."""
21,joy,"""Yes, they do shine,"" said Karen."
22,neutral,"They fitted her, and were bought."
23,neutral,"But the old lady knew nothing of their being red, for she would never have allowed Karen to be confirmed in red shoes, as she was now to be."
24,neutral,"Everybody looked at her feet, and the whole of the way from the church door to the choir it seemed to her as if even the ancient figures on the monuments, in their stiff collars and long black robes, had their eyes fixed on her red shoes."
25,neutral,"It was only of these that she thought when the clergyman laid his hand upon her head and spoke of the holy baptism, of the covenant with God, and told her that she was now to be a grown-up Christian."
26,neutral,"The organ pealed forth solemnly, and the sweet children's voices mingled with that of their old leader; but Karen thought only of her red shoes."
27,neutral,In the afternoon the old lady heard from everybody that Karen had worn red shoes.
28,surprise,"She said that it was a shocking thing to do, that it was very improper, and that Karen was always to go to church in future in black shoes, even if they were old."
29,neutral,On the following Sunday there was Communion.
30,neutral,"Karen looked first at the black shoes, then at the red ones- looked at the red ones again, and put them on."
31,neutral,"The sun was shining gloriously, so Karen and the old lady went along the footpath through the corn, where it was rather dusty."
32,neutral,"At the church door stood an old crippled soldier leaning on a crutch; he had a wonderfully long beard, more red than white, and he bowed down to the ground and asked the old lady whether he might wipe her shoes."
33,neutral,Then Karen put out her little foot too.
34,surprise,"""Dear me, what pretty dancing-shoes!"" said the soldier."
35,joy,"""Sit fast, when you dance,"" said he, addressing the shoes, and slapping the soles with his hand."
36,neutral,The old lady gave the soldier some money and then went with Karen into the church.
37,neutral,"And all the people inside looked at Karen's red shoes, and all the figures gazed at them; when Karen knelt before the altar and put the golden goblet to her mouth, she thought only of the red shoes."
38,neutral,"It seemed to her as though they were swimming about in the goblet, and she forgot to sing the psalm, forgot to say the ""Lord's Prayer."""
39,neutral,"Now every one came out of church, and the old lady stepped into her carriage."
40,neutral,"But just as Karen was lifting up her foot to get in too, the old soldier said: ""Dear me, what pretty dancing shoes!"" and Karen could not help it, she was obliged to dance a few steps; and when she had once begun, her legs continued to dance."
41,neutral,It seemed as if the shoes had got power over them.
42,neutral,"She danced round the church corner, for she could not stop; the coachman had to run after her and seize her."
43,neutral,"He lifted her into the carriage, but her feet continued to dance, so that she kicked the good old lady violently."
44,neutral,"At last they took off her shoes, and her legs were at rest."
45,neutral,"At home the shoes were put into the cupboard, but Karen could not help looking at them."
46,neutral,"Now the old lady fell ill, and it was said that she would not rise from her bed again."
47,neutral,"She had to be nursed and waited upon, and this was no one's duty more than Karen's."
48,neutral,"But there was a grand ball in the town, and Karen was invited."
49,neutral,"She looked at the red shoes, saying to herself that there was no sin in doing that; she put the red shoes on, thinking there was no harm in that either; and then she went to the ball; and commenced to dance."
50,neutral,"But when she wanted to go to the right, the shoes danced to the left, and when she wanted to dance up the room, the shoes danced down the room, down the stairs through the street, and out through the gates of the town."
51,neutral,"She danced, and was obliged to dance, far out into the dark wood."
52,neutral,"Suddenly something shone up among the trees, and she believed it was the moon, for it was a face."
53,surprise,"But it was the old soldier with the red beard; he sat there nodding his head and said: ""Dear me, what pretty dancing shoes!"""
54,fear,"She was frightened, and wanted to throw the red shoes away; but they stuck fast."
55,neutral,"She tore off her stockings, but the shoes had grown fast to her feet."
56,neutral,"She danced and was obliged to go on dancing over field and meadow, in rain and sunshine, by night and by day- but by night it was most horrible."
57,neutral,She danced out into the open churchyard; but the dead there did not dance.
58,neutral,They had something better to do than that.
59,neutral,She wanted to sit down on the pauper's grave where the bitter fern grows; but for her there was neither peace nor rest.
60,neutral,"And as she danced past the open church door she saw an angel there in long white robes, with wings reaching from his shoulders down to the earth; his face was stern and grave, and in his hand he held a broad shining sword."
61,disgust,"""Dance you shall,"" said he, ""dance in your red shoes till you are pale and cold, till your skin shrivels up and you are a skeleton!"
62,disgust,"Dance you shall, from door to door, and where proud and wicked children live you shall knock, so that they may hear you and fear you!"
63,disgust,"Dance you shall, dance- !"""
64,fear,"""Mercy!"" cried Karen."
65,neutral,"But she did not hear what the angel answered, for the shoes carried her through the gate into the fields, along highways and byways, and unceasingly she had to dance."
66,neutral,"One morning she danced past a door that she knew well; they were singing a psalm inside, and a coffin was being carried out covered with flowers."
67,neutral,Then she knew that she was forsaken by every one and damned by the angel of God.
68,neutral,"She danced, and was obliged to go on dancing through the dark night."
69,neutral,The shoes bore her away over thorns and stumps till she was all torn and bleeding; she danced away over the heath to a lonely little house.
70,neutral,"Here, she knew, lived the executioner; and she tapped with her finger at the window and said: ""Come out, come out!"
71,neutral,"I cannot come in, for I must dance."""
72,neutral,"And the executioner said: ""I don't suppose you know who I am."
73,neutral,"I strike off the heads of the wicked, and I notice that my axe is tingling to do so."""
74,fear,"""Don't cut off my head!"" said Karen, ""for then I could not repent of my sin."
75,neutral,"But cut off my feet with the red shoes."""
76,neutral,"And then she confessed all her sin, and the executioner struck off her feet with the red shoes; but the shoes danced away with the little feet across the field into the deep forest."
77,joy,"And he carved her a pair of wooden feet and some crutches, and taught her a psalm which is always sung by sinners; she kissed the hand that guided the axe, and went away over the heath."
78,neutral,"""Now, I have suffered enough for the red shoes,"" she said; ""I will go to church, so that people can see me."""
79,fear,"And she went quickly up to the church-door; but when she came there, the red shoes were dancing before her, and she was frightened, and turned back."
80,sadness,"During the whole week she was sad and wept many bitter tears, but when Sunday came again she said: ""Now I have suffered and striven enough."
81,neutral,"I believe I am quite as good as many of those who sit in church and give themselves airs."""
82,neutral,And so she went boldly on; but she had not got farther than the churchyard gate when she saw the red shoes dancing along before her.
83,fear,"Then she became terrified, and turned back and repented right heartily of her sin."
84,neutral,"She went to the parsonage, and begged that she might be taken into service there."
85,neutral,"She would be industrious, she said, and do everything that she could; she did not mind about the wages as long as she had a roof over her, and was with good people."
86,neutral,"The pastor's wife had pity on her, and took her into service."
87,neutral,And she was industrious and thoughtful.
88,neutral,She sat quiet and listened when the pastor read aloud from the Bible in the evening.
89,neutral,"All the children liked her very much, but when they spoke about dress and grandeur and beauty she would shake her head."
90,sadness,"On the following Sunday they all went to church, and she was asked whether she wished to go too; but, with tears in her eyes, she looked sadly at her crutches."
91,neutral,"And then the others went to hear God's Word, but she went alone into her little room; this was only large enough to hold the bed and a chair."
92,sadness,"Here she sat down with her hymn-book, and as she was reading it with a pious mind, the wind carried the notes of the organ over to her from the church, and in tears she lifted up her face and said: ""O God! help me!"""
93,neutral,"Then the sun shone so brightly, and right before her stood an angel of God in white robes; it was the same one whom she had seen that night at the church-door."
94,neutral,"He no longer carried the sharp sword, but a beautiful green branch, full of roses; with this he touched the ceiling, which rose up very high, and where he had touched it there shone a golden star."
95,neutral,"He touched the walls, which opened wide apart, and she saw the organ which was pealing forth; she saw the pictures of the old pastors and their wives, and the congregation sitting in the polished chairs and singing from their hymn-books."
96,neutral,"The church itself had come to the poor girl in her narrow room, or the room had gone to the church."
97,neutral,"She sat in the pew with the rest of the pastor's household, and when they had finished the hymn and looked up, they nodded and said, ""It was right of you to come, Karen."""
98,joy,"""It was mercy,"" said she."
99,neutral,The organ played and the children's voices in the choir sounded soft and lovely.
100,joy,"The bright warm sunshine streamed through the window into the pew where Karen sat, and her heart became so filled with it, so filled with peace and joy, that it broke."
101,joy,"Her soul flew on the sunbeams to Heaven, and no one was there who asked after the Red Shoes."
0,joy,"It happened that the cat met the fox in a forest, and as she thought to herself: ""He is clever and full of experience, and much esteemed in the world,"" she spoke to him in a friendly way."
1,joy,"""Good day, dear Mr Fox, how are you?"
2,neutral,How is all with you?
3,neutral,"How are you getting on in these hard times?"""
4,disgust,"The fox, full of all kinds of arrogance, looked at the cat from head to foot, and for a long time did not know whether he would give any answer or not."
5,disgust,"At last he said: ""Oh, you wretched beard-cleaner, you piebald fool, you hungry mouse-hunter, what can you be thinking of?"
6,disgust,Have you the cheek to ask how I am getting on?
7,disgust,What have you learnt?
8,anger,"How many arts do you understand?"""
9,sadness,"""I understand but one,"" replied the cat, modestly."
10,anger,"""What art is that?"" asked the fox."
11,neutral,"""When the hounds are following me, I can spring into a tree and save myself."""
12,anger,"""Is that all?"" said the fox."
13,neutral,"""I am master of a hundred arts, and have into the bargain a sackful of cunning."
14,neutral,"You make me sorry for you; come with me, I will teach you how people get away from the hounds."""
15,fear,Just then came a hunter with four dogs.
16,fear,"The cat sprang nimbly up a tree, and sat down at the top of it, where the branches and foliage quite concealed her."
17,fear,"""Open your sack, Mr Fox, open your sack,"" cried the cat to him, but the dogs had already seized him, and were holding him fast."
18,sadness,"""Ah, Mr Fox,"" cried the cat."
19,disgust,"""You with your hundred arts are left in the lurch!"
20,sadness,"Had you been able to climb like me, you would not have lost your life."""
0,neutral,"There was once a merchant who had only one child, a son, that was very young, and barely able to run alone."
1,neutral,"He had two richly laden ships then making a voyage upon the seas, in which he had embarked all his wealth, in the hope of making great gains, when the news came that both were lost."
2,fear,"Thus from being a rich man he became all at once so very poor that nothing was left to him but one small plot of land; and there he often went in an evening to take his walk, and ease his mind of a little of his trouble."
3,surprise,"One day, as he was roaming along in a brown study, thinking with no great comfort on what he had been and what he now was, and was like to be, all on a sudden there stood before him a little, rough-looking, black dwarf."
4,neutral,"""Prithee, friend, why so sorrowful?"" said he to the merchant; ""what is it you take so deeply to heart?"""
5,neutral,"""If you would do me any good I would willingly tell you,"" said the merchant."
6,neutral,"""Who knows but I may?"" said the little man: ""tell me what ails you, and perhaps you will find I may be of some use."""
7,neutral,"Then the merchant told him how all his wealth was gone to the bottom of the sea, and how he had nothing left but that little plot of land."
8,neutral,"""Oh, trouble not yourself about that,"" said the dwarf; ""only undertake to bring me here, twelve years hence, whatever meets you first on your going home, and I will give you as much as you please."""
9,neutral,"The merchant thought this was no great thing to ask; that it would most likely be his dog or his cat, or something of that sort, but forgot his little boy Heinel; so he agreed to the bargain, and signed and sealed the bond to do what was asked of him."
10,joy,"But as he drew near home, his little boy was so glad to see him that he crept behind him, and laid fast hold of his legs, and looked up in his face and laughed."
11,fear,"Then the father started, trembling with fear and horror, and saw what it was that he had bound himself to do; but as no gold was come, he made himself easy by thinking that it was only a joke that the dwarf was playing him, and that, at any rate, when the money came, he should see the bearer, and would not take it in."
12,neutral,"About a month afterwards he went upstairs into a lumber-room to look for some old iron, that he might sell it and raise a little money; and there, instead of his iron, he saw a large pile of gold lying on the floor."
13,joy,"At the sight of this he was overjoyed, and forgetting all about his son, went into trade again, and became a richer merchant than before."
14,sadness,"Meantime little Heinel grew up, and as the end of the twelve years drew near the merchant began to call to mind his bond, and became very sad and thoughtful; so that care and sorrow were written upon his face."
15,neutral,"The boy one day asked what was the matter, but his father would not tell for some time; at last, however, he said that he had, without knowing it, sold him for gold to a little, ugly-looking, black dwarf, and that the twelve years were coming round when he must keep his word."
16,neutral,"Then Heinel said, ""Father, give yourself very little trouble about that; I shall be too much for the little man."""
17,neutral,"When the time came, the father and son went out together to the place agreed upon: and the son drew a circle on the ground, and set himself and his father in the middle of it."
