,category,company,details,experience,industry,location,salary,title
177,Engineering,The Judge Group,"
Our client is currently seeking a Data Engineer for a 6 Month Contract-Hire opportunity in Philadelphia, PA.  If qualified, please send an updated copy of your CV to Sean: [Click Here to Email Your Resumé]

Data Engineer (ETL & IBM Datastage Focus):
Ability to accept little direction to accomplish a goal

Focus: ETL Development

Background: IBM DataStage or Informatica; Java, JavaScript, SQL, Shell, Perl

Bonus: Hadoop, NoSQL, Agile workflow

Personality:


Track record of being able to solve complex problems independently
Ability to multi-task
Self-motivator
Good communication

Overview:
Our client is looking for a mid-level Data Engineer who will focus primarily on ETL development within the Data Analytics Center (DAC). Primary day-to-day job functions (70-80%) will be to support the build and maintenance of enterprise data warehouses, data marts, and internal/external data feed. These efforts will be built utilizing IBM DataStage v11.3. This portion of the role will require interaction with Product Owners and to assist in the definition, development, and deployment of these products. The candidate should draw on past experiences to facilitate in the best development decision making while bringing new thoughts and ideas to the table.

Minor aspects to the job (20-30%) will be the support of implementing the Hortonworks Data Platform (Hadoop) as well as promoting the concept of Data Virtualization. This will require learning many aspects of the Hadoop platform, such as Kafka, Sqoop, HBase, Phoenix, Hive, Storm, Spark, and others to a lesser degree

Responsibilities: 

Liberating the data from IT is a major initiative for the Data Analytics Center. We will be focusing much of our efforts to continue to build enterprise-grade dashboards as well as focus on current and next generation self-service tools. This will include maximizing SAP Universe utilization and expanding our development/support for user-centric Fact-Dimension models.

With the underpinnings of the data operating system being Hortonworks Data Platform (Hadoop), the Data Analytics Center will be responsible for setting up a next generation data warehouse

Capable of storing vast amounts of high-volume textual data from clinician notes, which will be used for current and future text processing, such as Natural Language Processing (NLP) and Guided Navigation for more defined cohort searches.



",NA,Other Great Industries,"Philadelphia, PA",NA,Data Engineer
178,Information Technology,Irvine Technology Corporation,"
.Net Software Engineer6 months contract to hirePay rate: $40-50/hr (conversion salary $80-95k/yr)We are looking for someone who is eager, responsive, wants to learn etc. The team is about a dozen or so including developers (6 engineers), BAs, QAs, an architect and UX/UI designerAfter conversion to direct status, the team usually work 2 days remote. They are located in Pioneer Square in downtown Portland.Day to day responsibilities:- New development- Adding new features- Analyze current issues, will need to have a strong database analytical background- Support in-house departments who uses software- Interface with customer, will need customer facing skillsResponsibilities: 
Joining the software team and become a functioning asset to the team.
Research potential bugs and/or upgrade and feature requests in current software systems.
Perform new development as generally directed by BRD and software specification documentation.
Possibly supporting QA with the ability to create Test fixtures and Frameworks.
Able to take non-technical desires for additions and conceptualize potential technical and tangible results.
Possibly creating supporting documentation for software components and systems.
Following best coding practices and solid design principles for reliability and scalability.
Creating and changing current stored procedures and the ability to comprehend TSql code blocks.
Perform well in an AGILE software SDLC along with Scrum.
The ability to multi-task and manage your own tasks efficiently.
Contribute to ongoing architecture discussions, design and implementations.
A variety of different development tasks with .Net, SQL, Angular JS, XML, Java, MVC C# and Web Services as well as some possible java development. Familiarity with Rest API's is a bonus as well as Web Applications development
Qualifications:
4 years relevant working experience (preferably 2 years working with .NET/C#/JAVASCRIPT/MVC/SQL.
Experience working within an agile team including hands on experience in the development and implementation of a variety of different software systems and components.
Must have Sql Server experience from a programmability perspective; TSql, Triggers, Views.
Strong knowledge of OOP and best software design principles and practices. Ability and confidence within development and implementations.
Strong work ethic and ability to work in a fast-paced environment.
Strong personal skills and the ability to interact with customers one on one.
Excellent written and verbal communication skills
Bachelor's degree in Computer Science, Engineering or a related field, or the foreign equivalent or equivalent experience

Please send your resume to Eric Ainsworth, Senior Technical Recruiter for immediate consideration. Let us help you secure an interview!


ABOUT US
Irvine Technology Corporation (ITC) is an award-winning Information Technology Solutions and Staffing provider with roots in Southern California. For over fifteen years, we have had the privilege of serving exceptional client organizations as both a local and national resource. Our team is comprised of seasoned technologists, staffing industry thought leaders, top-notch recruiters, dedicated account executives, and a world class support staff.
Irvine Technology Corporation provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Irvine Technology Corporation complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities

",4 years,Other Great Industries,"Portland, AR 71663",$45.00 - $50.00 /Hour,.Net Software Engineer
179,"Engineering, Information Technology, Design",Robert Half Technology,"
Ref ID: 01020-9501197821Classification: Application DevelopmentCompensation: $85,000.00 to $115,000.00 per yearRobert Half Technology is looking for a PERMANENT INTERNAL iOS Application Developer. The ideal iOS Developer will work within a creative team to develop, maintain, enhance, and deploy custom/corporate mobile apps.   Responsibilities: As a member of the product development team, collaboratively initiate concepts and develop highly creative, innovative and differentiated solutions into an emerging, high growth, and competitive market. Translate user stories and UI designs IOS app designs into next generation mobile iOS apps leveraging our client's proprietary framework. Collaborative creation in conjunction with product owner and UI designer Design, develop, code, test, and release to QA iOS apps in alignment with business goals and portfolio road map objectives. Participate in peer code reviews in compliance with development processes/pull requests.   For immediate consideration, please submit the following to [Click Here to Email Your Resumé] along with your updated resume.

Development experience with Swift 2+ years of development experience with Objective-C 2+ years of development experience with the iOS SDK 1+ years of recent experience working within an Agile/Scrum team Thorough understanding of REST, and Object Oriented Design Strong verbal and written communication skills with a proactive willingness to facilitate collaboration and innovative thinking. Please include GitHub / Bit Bucket portfolio to accompany resume   Education: Bachelors or Master's degree in Computer Science/Computer Engineering or relevant work experience.Technology doesn't change the world. People do.As a technology staffing firm, we can't think of a more fitting mantra. We're extreme believers in technology and the incredible things it can do. But we know that behind every smart piece of software, every powerful processor, and every brilliant line of code is an even more brilliant person. Leader among IT staffing agenciesThe intersection of technology and people  it's where we live. Backed by more than 65 years of experience, Robert Half Technology is a leader among IT staffing agencies. Whether you're looking to hire experienced technology talent or find the best technology jobs, we are your IT expert to call. We understand not only the art of matching people, but also the science of technology. We use a proprietary matching tool that helps our staffing professionals connect just the right person to just the right job. And our network of industry connections and strategic partners remains unmatched.Apply for this job now or contact our branch office at 888.674.2094 to learn more about this position.All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.© 2018 Robert Half Technology. An Equal Opportunity Employer M/F/Disability/Veterans.By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
",2+ years,"Computer Hardware, Computer Software","Miami, FL 33126","$85,000.00 - $115,000.00 /Year",iOS Mobile Application Developer
180,"Engineering, Information Technology, Design",Robert Half Technology,"
Ref ID: 01030-0010380565Classification: Programmer/AnalystCompensation: $57.00 to $66.00 per hourOur client, leader in the Hospitality industry is looking for an Android Developer that can help with a transition between two different offshore teams. The company is looking for a native Android Developer, so working experience with Java is heavily preferred. To apply for this position please send your resume to [Click Here to Email Your Resumé]

Android, JavaTechnology doesn't change the world. People do.As a technology staffing firm, we can't think of a more fitting mantra. We're extreme believers in technology and the incredible things it can do. But we know that behind every smart piece of software, every powerful processor, and every brilliant line of code is an even more brilliant person. Leader among IT staffing agenciesThe intersection of technology and people  it's where we live. Backed by more than 65 years of experience, Robert Half Technology is a leader among IT staffing agencies. Whether you're looking to hire experienced technology talent or find the best technology jobs, we are your IT expert to call. We understand not only the art of matching people, but also the science of technology. We use a proprietary matching tool that helps our staffing professionals connect just the right person to just the right job. And our network of industry connections and strategic partners remains unmatched.Apply for this job now or contact our branch office at 888.674.2094 to learn more about this position.All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.© 2018 Robert Half Technology. An Equal Opportunity Employer M/F/Disability/Veterans.By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
",65 years,"Computer Hardware, Computer Software","Orlando, FL 32819",$57.00 - $66.00 /Hour,Mobile Device Developer
181,Information Technology,"Advanced Technology Solutions, Inc.","
We are currently recruiting for a mobile developer with experience in developing native and hybrid applications.

General Description:

1.       Formulate and define system scope and objectives for assigned projects

2.       Develop appropriate software solutions to requests for new services and functionality

3.       Develop detailed specifications, application coding, unit and systems testing for the IT department

4.       Examine, devise and modify procedures to solve moderately complex problems in regard to existing system capabilities, operating time or the form of desired results

5.       Coordinate and support software production schedules and processing

6.       Work with units throughout to ensure smooth delivery of existing services and program modifications

7.       Support the planning and training of internal clients when new applications are launched or new processes are put in place

8.       Provide peer leadership and collaborate with Leads, team members and other development staff

9.       Conduct project tracking activity and walk throughs of software code to ensure adherence to quality standards and procedures

10.   Work with development team on implementation of new technologies

11.   Independently develops software, codes, tests and debugs

12.   Recommend modification to existing processes and new procedures to solve complex problems considering the existing system limitations, operating time and desired results

13.   Collaborate with team members as well as across FCEs/SBUs to identify ways to improve existing processes and technical output

14.   Proactive identification of gaps (especially across areas) and escalate in a timely and appropriate manner

15.   Create and update all relevant documentation and specifications for design, development, and testing

16.   Escalate problems of complex technical circumstances to appropriate channels

17.   Promote policies that foster quality standards and industry best practice

Requirements:
1.       Experienced in developing native Android Apps
2.       Experience in developing native iOS apps a huge plus though not mandatory
3.       Experience in building applications using Native Script, Angular a huge plus
4.       Should be a quick thinker who can build prototypes in a matter of days
5.       Should be able to show already developed apps either on the App store or on their device and explain the development methodology and architecture used for building those apps

6.       Will have to build a quick application as part of the interview process either in Native Script or Android. The app will include using device features like Camera and Microphone.
",NA,"Computer Hardware, Computer Software, Consulting","Ewing Township, NJ",$60.00 - $65.00 /Hour,Mobile Developer
182,"Engineering, Information Technology, Design",Robert Half Technology,"
Ref ID: 01020-9501195584Classification: Software EngineerCompensation: $110,000.00 to $200,000.00 per yearRobert Half Technology's Permanent Placement Division is representing one of the most entertaining, exciting clients we have ever had the chance the work with. (TECH START-UP with IMMENSE FUNDING) We are looking for the best of the best Software Engineers with subject matter expertise in either C# or Java. Salary is 100% open as we are willing to break the bank in order to get the best talent. The best part? 100% Remote is available. However, if you would like to work out of their new offices, they do have an on-site option. This position will be for an exclusive R D department within the company, where you'll have the chance to work with one of the company's founders You will be developing systems and APIs that fuel the fire for a diverse set of applications used by a massive user-base. For those of you also interested in making games, yes, you will have the chance to do so if you'd like. In R D, the sky's the limit! Performant, scalable and maintainable software creation is paramount for the success of the entire company. So, what are you waiting for? Apply now to join a company that will allow you the opportunity to deliver solutions with unlimited creative freedom. For immediate consideration, please submit an updated copy of your resume to [Click Here to Email Your Resumé]

- Creativity, passion drive in Software Development - MUST BE OPEN to working on different tech in different languages, ""I only do this or that, please do not apply - 4+ years of development in OOP using C# and/or Java. - Strong OOP and REST. - Strong ability to perform code-reviews for other engineers, design-reviews and OTS debugging. - PASSION to build innovative applications - 2+ years of relational database experience (SQL, schema-design, etc.) - Experience writing distributed systems in AWS or other cloud platforms. - MUST HAVE: Bachelors of Science in a technical field. For immediate consideration, please submit an updated copy of your resume to [Click Here to Email Your Resumé]Technology doesn't change the world. People do.As a technology staffing firm, we can't think of a more fitting mantra. We're extreme believers in technology and the incredible things it can do. But we know that behind every smart piece of software, every powerful processor, and every brilliant line of code is an even more brilliant person. Leader among IT staffing agenciesThe intersection of technology and people  it's where we live. Backed by more than 65 years of experience, Robert Half Technology is a leader among IT staffing agencies. Whether you're looking to hire experienced technology talent or find the best technology jobs, we are your IT expert to call. We understand not only the art of matching people, but also the science of technology. We use a proprietary matching tool that helps our staffing professionals connect just the right person to just the right job. And our network of industry connections and strategic partners remains unmatched.Apply for this job now or contact our branch office at 888.674.2094 to learn more about this position.All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.© 2018 Robert Half Technology. An Equal Opportunity Employer M/F/Disability/Veterans.By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
", - 4+ years,"Computer Hardware, Computer Software","Miami, FL 33126","$110,000.00 - $200,000.00 /Year",Senior Java Developer
183,"Engineering, Information Technology, Design",Robert Half Technology,"
Ref ID: 01020-9501195599Classification: Software EngineerCompensation: $110,000.00 to $200,000.00 per yearRobert Half Technology's Permanent Placement Division is representing one of the most entertaining, exciting clients we have ever had the chance the work with. (TECH START-UP with IMMENSE FUNDING) We are looking for the best of the best Software Engineers with subject matter expertise in either C# or Java. Salary is 100% open as we are willing to break the bank in order to get the best talent. The best part? 100% Remote is available. However, if you would like to work out of their new offices, they do have an on-site option. This position will be for an exclusive R D department within the company, where you'll have the chance to work with one of the company's founders You will be developing systems and APIs that fuel the fire for a diverse set of applications used by a massive user-base. For those of you also interested in making games, yes, you will have the chance to do so if you'd like. In R D, the sky's the limit! Performant, scalable and maintainable software creation is paramount for the success of the entire company. So, what are you waiting for? Apply now to join a company that will allow you the opportunity to deliver solutions with unlimited creative freedom. For immediate consideration, please submit an updated copy of your resume to [Click Here to Email Your Resumé]

- Creativity, passion drive in Software Development - MUST BE OPEN to working on different tech in different languages, ""I only do this or that, please do not apply - 4+ years of development in OOP using C# and/or Java. - Strong OOP and REST. - Strong ability to perform code-reviews for other engineers, design-reviews and OTS debugging. - PASSION to build innovative applications - 2+ years of relational database experience (SQL, schema-design, etc.) - Experience writing distributed systems in AWS or other cloud platforms. - MUST HAVE: Bachelors of Science in a technical field. For immediate consideration, please submit an updated copy of your resume to [Click Here to Email Your Resumé]Technology doesn't change the world. People do.As a technology staffing firm, we can't think of a more fitting mantra. We're extreme believers in technology and the incredible things it can do. But we know that behind every smart piece of software, every powerful processor, and every brilliant line of code is an even more brilliant person. Leader among IT staffing agenciesThe intersection of technology and people  it's where we live. Backed by more than 65 years of experience, Robert Half Technology is a leader among IT staffing agencies. Whether you're looking to hire experienced technology talent or find the best technology jobs, we are your IT expert to call. We understand not only the art of matching people, but also the science of technology. We use a proprietary matching tool that helps our staffing professionals connect just the right person to just the right job. And our network of industry connections and strategic partners remains unmatched.Apply for this job now or contact our branch office at 888.674.2094 to learn more about this position.All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.© 2018 Robert Half Technology. An Equal Opportunity Employer M/F/Disability/Veterans.By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
", - 4+ years,"Computer Hardware, Computer Software","Miami, FL 33126","$110,000.00 - $200,000.00 /Year",Senior .NET Engineer
184,Information Technology,NTT DATA,"
Responsibilities:The ideal candidate will participate in all phases of the Salesforce solution lifecycle delivery including: identifying/defining a need, designing solutions, constructing the chosen solution, and validating/implementing/supporting the solution by utilization of an Agile delivery model. As a Sr. Developer his/her main responsibilities will be as follows:  Coding and integrated testing Autonomy as he/she will be working with little supervision Analysis and design of processes
Knowledge/Experience Desired: Understanding of Agile/Scrum methodologies and their interaction with business processes Understanding of Master Data Management concepts and associated impacts to technology implementations Experience working with collaborative teams in a fast-paced, dynamic environment
Requirements: Bachelor degree or higher in the discipline of technology and/or business Minimum 3 year Salesforce Development experience Minimum 3 year development experience with Force.com, APEX or Visualforce Minimum 3 year of requirements gathering, testing and training experience SFDC 401 Certification 
NTT DATA Services is a leading IT services provider and global innovation partner with 130,000 professionals based in over 50 countries. NTT DATA recently acquired Dell Services. NTT DATA Services emphasizes long-term commitment and combines global reach and local intimacy to provide premier professional services, including consulting, application services, business process, IT outsourcing, and cloud-based solutions. We are a part of NTT Group, one of the world's largest technology services companies, generating more than $100 billion in annual revenues and partner to 80% of the Fortune 100. Visit www.nttdataservices.com to learn how our consultants, projects, managed services, and outsourcing engagements deliver value for a wide range of businesses and government agencies. The Company is an equal opportunity employer and makes employment decisions on the basis of merit and business needs. The Company will consider all qualified applicants for employment without regard to race, color, religious creed, citizenship, national origin, ancestry, age, sex, sexual orientation, genetic information, physical or mental disability, veteran or marital status, or any other class protected by law. To comply with applicable laws ensuring equal employment opportunities to qualified individuals with a disability, the Company will make reasonable accommodations for the known physical or mental limitations of an otherwise qualified individual with a disability who is an applicant or an employee unless undue hardship to the Company would result.
",3 year,Banking - Financial Services,"Birmingham, AL",$50.00 - $60.00 /Hour,Salesforce Developer
185,"Engineering, Information Technology, Design",Robert Half Technology,"
Ref ID: 01070-0010352270Classification: Software EngineerCompensation: $25.34 to $29.34 per hourThe innovative team at Robert Half Technology is looking for a knowledgeable Software Engineer who's skilled in design and user experience to be a part of their growing team. As a part of an industrious and deeply passionate team, you will play a pivotal role as the Software Engineer in developing new platforms and maintaining existing systems. A long term temporary-to-fulltime role, this Software Engineer opportunity will be located in the Tampa, Florida area. How you will make an impact - Operate closely with the product team to build new features and infrastructure - Create and bring about back end and front end components and services - Gauge new technologies and create prototypes for constant improvements - Produce high quality production-ready code in an agile environment - Invite solutions which account for scalability and optimize performance - Promote top programming practices and standards

- Solid grasp of relational database management systems - Comprehension of web application frameworks - Strong familiarity with the planning, launching, and refactoring phases of code - Software engineering experience - Experience crafting, documenting and testing APIs - MySQL experience required - Comprehensive knowledge of PHPTechnology doesn't change the world. People do.As a technology staffing firm, we can't think of a more fitting mantra. We're extreme believers in technology and the incredible things it can do. But we know that behind every smart piece of software, every powerful processor, and every brilliant line of code is an even more brilliant person. Leader among IT staffing agenciesThe intersection of technology and people  it's where we live. Backed by more than 65 years of experience, Robert Half Technology is a leader among IT staffing agencies. Whether you're looking to hire experienced technology talent or find the best technology jobs, we are your IT expert to call. We understand not only the art of matching people, but also the science of technology. We use a proprietary matching tool that helps our staffing professionals connect just the right person to just the right job. And our network of industry connections and strategic partners remains unmatched.Apply for this job now or contact our branch office at 888.674.2094 to learn more about this position.All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.© 2018 Robert Half Technology. An Equal Opportunity Employer M/F/Disability/Veterans.By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
",65 years,"Computer Hardware, Computer Software","Tampa, FL 33602",$25.34 - $29.34 /Hour,PHP Developer
186,Information Technology,RemX IT Staffing,"
Our client has an immediate need for a Business Intelligence/ETL SQL Developer to join their growing technology team. This is a permanent, full-time position. They have a number of different processes and databases that serve a variety of business units, and they have recognized the need to begin providing a standardized set of tools, including self-service solutions. Their current toolset includes: 
SSIS, SQL Server, Visual Studio
Microsoft Azure (Azure SQL, Azure Tables, etc.)
Tableau, Power BI 

Description: Work to load a variety of data into databases, while working with business users and software developers to make that information available for queries, reports and custom software applications. The right candidate will have deep technical skills, be comfortable working in and contributing to a nascent data infrastructure, and be excited about building a strong data foundation for the company. Responsibilities: 
Extract and import datasets from various data sources for use in custom software applications and future self-service analytic platforms.
Monitor, troubleshoot and support a wide range of extraction processes and datasets used across the company.
Assist with database performance optimization and interoperability issues.
Work with business users in creating extracts, queries and reports in response to requests for specific data. 

Requirements: The ideal candidate would be an engineer with a background in data and business analysis. Should have strong technical and programming skills. In order to be successful in this role, must have extensive experience with: 
Creating SSIS packages to load into relational and dimensional models
ETL and Data Integration monitoring, troubleshooting and maintenance
SQL Server, both on-prem and cloud-based offerings
Creating and troubleshooting T-SQL queries & stored procedures
Data warehouse design principles (Kimball Methodology); OLAP and relational database architecture 
Additionally, experience with the following is preferred but not required:
The rest of the Microsoft BI tool suite (SSAS Tabular Model, SSRS, MDS)
Data visualization and interaction tools (Tableau, Power BI)
Version control (Git)
Automated release and deployment tools (Visual Studio database projects, VSTS Release Management)
Working in an Agile environment (Scrum, Kanban, etc.)
We are an equal opportunity employer. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, and other legally protected characteristics. 

*SSIS, SQL Server, Visual Studio•Microsoft Azure (Azure SQL, Azure Tables, etc.)•Tableau, Power BI
",NA,Banking - Financial Services,"Dresher, PA","$90,000.00 - $110,000.00 /Year",SQL Developer (BI/ETL)
187,"Information Technology, Engineering, Professional Services",CyberCoders,"
This position is open as of 4/22/2018.Salesforce DeveloperIf you are a Salesforce Developer or Senior Software Engineer with Saleforce Sales Cloud, Service Cloud or Marketing Cloud experience, please read on!What You Will Be DoingAs a Senior Developer for our Salesforce platform you will work on a variety of projects related to our growing business. In addition to Apex you will also work extensively with SQL, HTML and JavaScript.Our system utilizes Skuid and JavaScript to provide an effective user experience for all staff including Sales, Customer Service Marketing and Operations. On the backend our solution integrates in real time with our website, booking system and Business Intelligence systems. We have built out many advanced features such as real time lead scoring and distribution as well as advanced ownership rules and notification mechanisms.What You Need for this Position- 5+ years of software development experience- 2+ years of experience Salesforce platform development - Previous experience working with Salesforce Sales Cloud / Service Cloud or Marketing Cloud is preferred- APEX and at least one other OO programming language (C# is ideal)- SQL, SOQL, & SOSL- Front End development using HMTL, CSS and JavaScript- Passionate about writing clean and maintainable codeNice to haves;- Experience from systems integrations & RESTful APIs- Experience with git, the Salesforce Metadata API, sandboxes & deployment toolsWhat's In It for YouGenerous compensationThree weeks paid vacation your first year, increases to four weeks your second yearAll expenses paid international travelOn-site restaurant and barTravel discountsMarket-leading benefits package including top of the line health coverage, 401k with company match, and moreSo, if you are a Salesforce Developer or Senior Software Engineer with Saleforce Sales Cloud, Service Cloud or Marketing Cloud experience, please apply today!Required SkillsSalesforce Sales Cloud / Service Cloud, Apex, SQL, JavaScript, HTMLIf you are a good fit for the Salesforce Developer position, and have a background that includes:Salesforce Sales Cloud / Service Cloud, Apex, SQL, JavaScript, HTML and you are interested in working the following job types:Information Technology, Engineering, Professional ServicesWithin the following industries:Internet - eCommerceOur privacy policy: Your resume and information will be kept completely confidential.Looking forward to receiving your resume through our website and going over the job in more detail with you! CyberCoders, Inc is proud to be an Equal Opportunity Employer  All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.  Your Right to Work – In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.

Salesforce Sales Cloud / Service Cloud, Apex, SQL, JavaScript, HTML
",5+ years,Internet - ECommerce,"Cambridge, MA 02138","$90,000.00 - $130,000.00 /Year",Salesforce Developer
188,Information Technology,"On-Line Systems, Inc.","


Client: State of Connecticut Judicial Branch
Work Location: Wethersfield, CT

----------------------------------------------------------

o Mastery level experience in enterprise level or higher development activities
o Providing guidance and training to less experienced developers
o Interact and give direction to a vendor on application development and standards required 
o Develop using Microsoft Visual Studio 2012, with both VB.NET and C# languages. 
o Capable of developing object oriented specialty frameworks
o Experience developing Web and Windows applications
o Coding applications & reports using various technology and tools – including MVC, ASP.Net, VB.NET, C#, XML, SSRS, and SSIS.
o Working knowledge of JavaScript frameworks (KnockoutJS, AngularJS, etc.)
o Knowledge of the Windows Communication Foundation (WCF) framework
o Creation of stored procedures for accessing SQL Server 2012 databases.
o Ability to write clear and concise technical implementation documentation and comment developed code accordingly.
o Verbal communication skills to explain and transfer knowledge both informally and at design and code review meetings.
o Written communication skills to prepare regular periodic status reports.

Minimum Qualifications

The minimum skills and experience levels required for a candidate to be considered for this position include:

o Mastery level experience in enterprise level or higher development activities
o Extensive knowledge of creating standards throughout an enterprise system
o Minimum of eight (8) years of experience developing web applications using both VB.NET, and C#
o Knowledge of and experience of software design patterns, including MVC, MVP and MVVM.
o Experience using Team Foundation Server source code repository
o Knowledge of Microsoft .NET Enterprise Library
o Knowledge of and direct experience developing WCF Web Services
o Minimum nine (9) years’ experience development coding applications using SQL Server
o Minimum five (5) years’ experience working, giving guidance and training to less experienced developers on a software project comprised of multiple programmers in a team environment
o Proven ability to work independently with minimal supervision
o Ability to work well with a team of developers and business analysts



Timetable

The service of this individual will be required 40 hours per week for 6 months with a possible renewal of up to 6 months, commencing on or around December 11, 2017. Location will be in Wethersfield with little need for travel. Occasional travel to local sites for meetings may be required.

Strong .Net / VB.Net / C# / SQL Server & WCF

Please forward resume to: [Click Here to Email Your Resumé]

",NA,Government - Civil Service,"Hartford, CT",$55.00 - $60.00 /Hour,.Net / SQL Server Developer
189,Information Technology,Vaco Technology,"
Our premier client is seeking a iOS Developer for a direct hire opportunity. This will be native iOS development and all work must be completed on-site. Job Responsibilities
:This person is responsible for developing, delivering and maintaining high quality business solutions and services that solve business problems and promote corporate revenue growth, profitability and industry leadership by being easy to install, maintain, support, use, upgrade and get service. Other job duties related to this role may be added based upon a business and/or company need. Below are general duties of this role: 
Participate in business analysis, requirements gathering or clarification for new product development / change request.
Provide effort estimates for work assigned.
Participate, understand and provide feedback to overall system architecture and architectural solutions.
Independently develop and maintain software components or products in compliance with department standards.
Perform unit testing on software components or products to ensure proper functionality.
Perform and participate with peer design and code reviews.
Participate with research of new tools, technologies, or product opportunities that will help achieve corporate goals.
Provide internal and external communication of the appropriate project status.
Utilize product change management tool and adhere to corresponding processes.
Perform setup and maintain development test lab including all required testing equipment.
Perform product release training, installations, and general product support.
Participate with product beta release deployments.
Participate in 3rd level support to troubleshoot/resolve or escalate product defects to software development.
Participate in training to improve product knowledge and customer support.

Adhere to the defined company and departmental process.
Promote an environment where all product development personnel can work in harmony during all phases of product development.
Develop and maintain technical documentation; e.g. product architecture, high-level design, detailed design, database design, class diagrams, physical & deployment diagrams, etc.
Make suggestions for improvement of the company's policies, procedures, and products.
Perform all other necessary tasks as requested by the immediate supervisor.
Qualifications and Experience:
Bachelor's Degree (preferably within a technical discipline)
5+ years of software development experience
Proven knowledge of Objective C
Solid understanding of WebApi Web Services
Good knowledge of Operating Systems including iOS 11
Source Control knowledge (Git or VCS)
Business/Requirements Analysis skills
Knowledge of App publishing process
Design Patterns
Cocoa Frameworks
Unit and integration testing

",5+ years,Computer Software,"Tampa, FL","$110,000.00 - $120,000.00 /Year","IOS Developer-Direct Hire - Tampa, FL $120k"
